 ,,
"1. HUMIDITY, Safe Range: (30 to 70)",,
Date,Time,Value
27-06-2025,12:02:00,60
 ,,
28-06-2025,12:02:00,52
 ,,
29-06-2025,12:02:00,55
 ,,
30-06-2025,12:02:00,45
,,
,,
"2. ETP (TDS), Safe Range: (100 to 1000)",,
Date,Time,Value
01-06-2025,06:00:00,521.25
01-06-2025,06:15:00,606.25
01-06-2025,06:30:00,815.83
01-06-2025,06:45:00,900.83
01-06-2025,07:00:00,385.01
01-06-2025,07:15:00,470.01
01-06-2025,07:30:00,679.59
01-06-2025,07:45:00,764.59
01-06-2025,08:00:00,248.77
01-06-2025,08:15:00,333.77
01-06-2025,08:30:00,543.35
01-06-2025,08:45:00,628.35
01-06-2025,09:00:00,112.53
01-06-2025,09:15:00,197.53
01-06-2025,09:30:00,407.11
01-06-2025,09:45:00,492.11
01-06-2025,10:00:00,715.24
01-06-2025,10:15:00,800.23
01-06-2025,10:30:00,109.82
01-06-2025,10:45:00,194.81
01-06-2025,11:00:00,578.99
01-06-2025,11:15:00,663.99
01-06-2025,11:30:00,873.57
01-06-2025,11:45:00,958.57
01-06-2025,12:00:00,73.5
01-06-2025,12:15:00,3.79
01-06-2025,12:30:00,
01-06-2025,12:45:00,1153.8
01-06-2025,13:00:00,51.54
01-06-2025,13:15:00,81.83
01-06-2025,13:30:00,
01-06-2025,13:45:00,
01-06-2025,14:00:00,170.27
01-06-2025,14:15:00,255.27
01-06-2025,14:30:00,464.85
01-06-2025,14:45:00,549.85
01-06-2025,15:00:00,934.03
01-06-2025,15:15:00,119.03
01-06-2025,15:30:00,328.61
01-06-2025,15:45:00,413.61
01-06-2025,16:00:00,797.79
01-06-2025,16:15:00,882.79
01-06-2025,16:30:00,192.37
01-06-2025,16:45:00,277.37
01-06-2025,17:00:00,661.55
01-06-2025,17:15:00,746.55
01-06-2025,17:30:00,956.13
01-06-2025,17:45:00,141.13
01-06-2025,18:00:00,525.3
01-06-2025,18:15:00,610.3
01-06-2025,18:30:00,819.89
01-06-2025,18:45:00,904.89
01-06-2025,19:00:00,19.78
01-06-2025,19:15:00,50.07
01-06-2025,19:30:00,1313.7
01-06-2025,19:45:00,
01-06-2025,20:00:00,991.77
01-06-2025,20:15:00,176.77
01-06-2025,20:30:00,386.35
01-06-2025,20:45:00,471.35
01-06-2025,21:00:00,855.53
01-06-2025,21:15:00,940.53
01-06-2025,21:30:00,250.11
01-06-2025,21:45:00,335.11
01-06-2025,22:00:00,719.29
01-06-2025,22:15:00,804.29
01-06-2025,22:30:00,113.87
01-06-2025,22:45:00,198.87
01-06-2025,23:00:00,
